trail_id,name,lat,lon
1006838,Loco - Vosa - Intragna,46.201878,8.669498
310035,Bedretto,46.555397,8.566613
74009,Wanderwege durch die Weinberge - 1,45.872601,8.98762
129246,"Familientour zu Lago Ritom, Lago di Tom und Lago Cadagno",46.527302,8.67236
698811,Von Spruga via Capellone und Pizzo Ruscada nach Camedo (Centovalli),46.200588,8.568267
1006855,Camedo-Bordei-Terra Vecchia-Rasa,46.154613,8.611014
108114,Trekking Lucomagno - Passo del sole - Altanca,46.546417,8.817892
463922,San Gottardo Tour,46.527718,8.608596
272904,Bignasco-Rima-Prato Sornico,46.339298,8.607505
1000546,Lugano Bike Nr. 66,46.008987,8.986384
1006940,Lugano e-MTB Tour,45.969978,8.861057
507989,Track for sledges in Pian Nara - Cancorì,46.471382,8.874104
194344,Locarno Trail,46.173702,8.789465
101593,Lodano-Alpe Canaa-Lodano,46.260857,8.690443
180235,Kraftorte des Monte Gambarogno,46.111176,8.845574
461550,The three Medieval castles of Bellinzona,46.193348,9.017716
272850,Foroglio-Calnègia-Foroglio,46.373466,8.548272
172630,Percorso Vallemaggia: Bellinzona-Cavergno,46.195198,9.028527
525397,Tessiner Anschlussweg zur Via Jakobi: Dalpe - Airolo,46.474335,8.775018
524973,Etappe 1: Sonogno-Capanna Barone,46.349907,8.787854
79777,Losone Trail,46.1674,8.773473
74011,Wanderwege durch die Weinberge - 3,45.871758,8.967536
1000689,Monte Tamaro - In the heart of the hills,46.116608,8.893416
1000700,"Monte Tamaro - Hills and mountains, rivers and lake",46.116703,8.893348
272900,Broglio-Capanna Tomeo-Prato Sornico,46.376678,8.660037
452371,Bovarina Bike,46.529369,8.936088
525379,Tessiner Anschlussweg zur Via Jakobi: Bellinzona - Biasca,46.195045,9.028651
1006839,Camedo – Verdasio – Costa – Pila - Intragna,46.154617,8.611024
1006852,Gresso – Passo della Bassa – Passo della Maggia – Berzona,46.224728,8.615899
525413,Tessiner Anschlussweg zur Via Jakobi: Madonna del Sasso - Bellinzona,46.175213,8.793462
1006841,Rasa – Corona dei Pinci - Intragna,46.15657,8.654658
83735,Wanderung Passo del Lucomagno – Acquacalda,46.562943,8.800911
135549,Tessiner Alpen,46.473305,8.774839
405270,Trekking dei laghetti alpini,46.44376,8.661896
524990,Frasco-Capanna Efra-Frasco,46.339878,8.802338
1000721,Monte Tamaro - On the traces of Lugano Bike,46.116451,8.893528
524997,Brione Verzasca-Capanna Starlaresc-Brione Verzasca,46.29718,8.791254
1006856,Spruga-Alpe Saléi-Comologno,46.200371,8.568084
461545,The Greina plateau and its Arch,46.604401,8.934328
132741,Greina-Lucomagno: Capanna Scaletta - Capanna Bovarina,46.60788,8.940539
272903,Avegno-Ponte Brolla-Avegno,46.205711,8.743052
912391,Percorso Bosco Gurin 953,46.315411,8.487778
1007981,Spruga – Monte Comino - Intragna,46.200378,8.568085
262233,Vier - Quellen - Weg: Etappe 3 Vom Gotthardpass zur Reussquelle,46.556477,8.567374
70602,Pizzo dell`uomo Wintergipfel,46.562946,8.800581
1006960,Der Kastanien Weg,46.041885,8.900041
194346,Salmone Trail,46.202969,8.674563
156884,Via Francisca: Biasca - Giubiasco,46.353573,8.973443
525003,Lavertezzo-Revöira-Lavertezzo,46.258846,8.838371
336246,Wanderung San Carlo - Bignasco,46.408421,8.526116
60017,Auf dem Kunstweg durch das Valle Verzasca,46.291142,8.794804
1006851,Loco – Sella – Salmone - Auressio,46.201881,8.669489
1017242,Lugano Trekking,46.011166,8.995917
1000628,Vicania Bike Nr. 351,45.989376,8.945948
272902,Etappe 1: Broglio-Capanna Tomeo,46.376678,8.660037
1000570,Lugano Bike Nr. 66 - Etappe 2 - Pairolo – Rivera,46.062675,9.045116
272852,Linescio-Campo Vallemaggia,46.308197,8.583624
1000643,Val Colla Bike - Nr. 360,46.089687,9.062627
180213,Kraftorte im Gambarogno,46.144089,8.842689
194348,Gambarogno Trail,46.110756,8.845468
859947,Kraftorte um den Ghiridone,46.126873,8.684479
71434,Route Piora – Piora,46.527454,8.672354
156883,Via Francisca: Aquila - Biasca,46.501919,8.948825
732619,Entlang der Verzasca von Sonogno via Brione nach Lavertezzo,46.349754,8.788884
89486,Bergsee von Efra Trail,46.339882,8.802366
332273,Wandern im Tessin: von San Salvatore nach Morcote,45.977142,8.947512
549002,Sentiero Monte Brè,46.005577,9.003937
1000679,Monte Tamaro - Chestnuts trail,46.116638,8.893365
70831,"Selva Secca Lukmanierpass, Rundtour",46.546364,8.81852
1006843,Tegna – Castelliere – Ponte Brolla – Tegna,46.186115,8.742646
260869,5- Seen- Wanderung,46.558811,8.562122
524972,Sonogno-Capanna Barone-Sonogno,46.349907,8.787851
71348,Rasa,46.172005,8.804312
272879,Gordevio-Alpe Nimi-Gordevio,46.225029,8.742416
525408,Tessiner Anschlussweg zur Via Jakobi: Airolo - Andermatt,46.527622,8.609167
1011157,Lugano e-MTB Tour - Etappe 5,46.036835,9.007253
1013198,Scenic Trail,46.066216,8.966247
463035,Curzùtt and the Tibetan Bridge Carasc,46.186272,8.992562
260901,Nufenenpass: Airolo - Ulrichen,46.527523,8.609027
101999,Via Alta Vallemaggia - 1.Etappe: Cardada-Alpe Nimi Hütte,46.190964,8.781791
912386,Percorso Cardada-Cimetta 954,46.193623,8.784814
515181,Denti delle vecchie,46.053852,8.994555
607312,"Sementina, Capana Mognone",46.185398,8.963802
518605,"Monte Ferraro, Switzerland",46.048779,8.899871
635909,Viona - Monte di Lego,46.191437,8.823227
1000633,Castagno Bike - Nr. 355,45.981495,8.883738
910533,Tenero nach Ascona,46.176105,8.84578
467863,Dargo > Capanna prou > Lavill > Motto Blenio,46.428883,8.997475
661448,Madonna,46.175739,8.792613
469886,Cusié > Capanna Quarei > Laghetto dei Cadabi > Alpe di poxxo > Cusié,46.454746,9.03781
523709,Capanna Piansecco,46.49054,8.484436
546230,Giro ad anello,46.524265,8.900653
74014,Kulturtour durch Mendrisio,45.867363,8.983347
1006858,2. Etappe: Capanna Arena-Alpe di Porcaresc-Vergeletto,46.232433,8.514669
950814,Winterwanderung Collina Alta,46.173676,8.789339
1000630,Tresa Bike - Nr. 353,45.969788,8.860692
83734,Wanderung San Salvatore – Morcote,45.976715,8.946252
593773,Monti di Rima Margoneggia Rima,46.385288,8.657089
541641,Novaggio,46.010056,8.857632
588884,Chiasso-Val di Muggio - via Piantagioni Vetta del monte generoso- coldrerio- chiasso,45.836575,9.024606
455704,Gottardo Bike - Stage 3,46.529411,8.936276
7848,Lago Miniera,46.568302,8.788977
65937,Punkt 2585 - Lukmanier,46.545887,8.818544
1006847,1. Etappe: Vergeletto – Capanna Ribia,46.227821,8.59951
564060,Camminata,46.177334,8.759141
8861,"Pizzo Campolungo, Tre Corni (Pizzo Cana): Alpinkurs mit Schweizer Alpen Club",46.458553,8.768806
830688,3/4 Tagestour ohne Stress,45.990597,8.820629
7716,Ossasca - Cristallinahütte,46.512039,8.538008
