index,0
0,761144
1,795297
2,183419
3,823054
4,114252
5,793251
6,247254
7,707091
8,823030
9,707092
10,247240
11,819426
12,276260
13,156762
14,893017
15,761157
16,769390
17,819437
18,848062
19,616598
20,707086
21,616560
22,859951
23,823040
24,859955
25,823067
26,910305
27,109935
28,716667
29,777470
30,555309
31,615619
32,63229
33,75536
34,814906
35,891224
36,131280
37,114424
38,60581
39,771105
40,555780
41,558481
42,75535
43,114432
44,767150
45,75539
46,769094
47,75540
48,75530
49,114422
50,411429
51,558706
52,615229
53,75524
54,722980
55,802923
56,185708
57,904271
58,750936
59,97276
60,844589
61,808124
