trail_id,name,lat,lon
478176,San Jon – Avrona – (Lai Nair) – Gurlaina (Scuol) Mittel / Fortgeschrittene,46.797215,10.308638
953453,Kolumbansweg Schweiz - 18. Etappe Lenzerheide - Savognin,46.727501,9.55788
17434,Tour d'Albula,46.727676,9.557762
132507,Gotschna Freeride Piste,46.861874,9.85762
132879,Alte Sägerei Gneida / Resgia Gneida,46.784077,9.07346
86298,Von Saas nach Küblis,46.911133,9.806636
168259,Rundwanderung Cumbel - Vella - Peiden - Cumbel,46.72575,9.192204
1002821,Domat/Ems – Schönegg – Domat/Ems,46.835663,9.464079
717232,Auf dem Nationalpark Panoramaweg,46.648205,10.266896
58131,Radtour Disentis - Biasca - Airolo - Andermatt - Disentis,46.704845,8.854128
93810,Älpli - Junker Rundtour (markierter Trail Nr. 21),46.969772,9.813379
188524,Höhenwanderung: Bargis - Fidaz - Flims,46.854198,9.326415
156823,Via Son Giachen: Trun - Sedrun,46.742336,8.984559
96325,itinerario Pian Scundù S.Bernardino,46.450611,9.205112
5507,Wanderung Medelserhütte,46.672661,8.85871
717225,Schmetterlingsweg Tschiertschen,46.818302,9.606524
733534,Naturerlebnis Feldis - Erratischer Block,46.791157,9.440148
944929,Alpenrösli-Trail,46.873421,9.880187
70823,Motta Naluns - Chamanna Naluns (retour),46.811062,10.272
984830,SNOOC - Rinerhorn-Schlittelbahn,46.743755,9.80288
1002699,Sils - Val Fex,46.428623,9.763818
287652,Chur – Ilanz,46.861347,9.50708
942093,Gotschnagrat - Serneuser Schwendi,46.861923,9.833858
510077,Chur - Trimmis - Haldenstein - Chur,46.853539,9.529757
150252,Engadin Nationalpark,46.697609,10.090234
98654,Brambi Flow (701),46.829437,9.516247
93577,301 - Pian Cales,46.462257,9.190813
42535,Rundtour Bündner Rheintal - Bündner Herrschaft,46.853615,9.53027
65673,Piz Badus / Six Madun,46.657272,8.671715
92102,Nationalpark: Stille Wanderung durch’s Spöltal,46.662727,10.170539
53641,Sedrun - Tgom  Gipfeltour,46.675591,8.782954
42401,Calanda(hütte) - Rundtour,46.87878,9.526922
132821,Blick zum Rhein (Cross Country),46.753033,9.111678
863017,Sport am Berg in Sedrun,46.680889,8.769064
538870,STRAIGHTline,46.74247,9.57309
129863,Heinzenberger Waldroute,46.695023,9.441141
87246,Wetterwichtweg Heidbüel,46.765934,9.531198
95965,Tüfelstein - Promisaun Rundtour (markierter Trail Nr. 12),46.930145,9.766599
50153,Eggberg 2202 m,46.97266,9.827702
87339,814 Schlittelweg Milez- Dieni mit Sessellift-Aufstieg,46.666519,8.718014
129803,Rundtour Tschappina,46.686783,9.374437
503332,Davos Klosters E-Bike Hütten-Tour (Etappe 2),46.813995,9.98293
1034249,Brigels Bella Vista,46.770416,9.067404
132769,Rundwanderung Versam - Arezen - Versam,46.792625,9.336541
170361,Märchenweg Samnaun im Winter (W8),46.94577,10.36275
181761,Für Gipfelstürmer: Rundwanderung Mattjisch Horn,46.866962,9.723978
56960,Muttler,46.9426,10.362048
181271,Rheinwanderung (6 Etappen),46.633137,8.673152
66623,Chamanna Cluozza – Vallun Chafuol,46.662884,10.11751
83911,GPS Brambrüesch-Pradaschier (via Dreibündenstein - grosse Route),46.828876,9.515455
505552,Sentisch Horn (2'827 M. ü. M.),46.784443,9.921591
95845,Panoramaweg,46.764599,9.5316
67718,Girenspitz,46.972351,9.827302
132257,Corvatsch Murtèl - Chamanna Coaz - Val Roseg,46.431896,9.823723
53189,Glattwang 2376 m / Abfahrt Fideris,46.866913,9.725566
92091,Nationalpark: Tierparadies Murtersattel,46.697914,10.090268
42387,Mittenberg Rundtour,46.853111,9.530094
52598,Clemgia – Lai Nair,46.793709,10.286838
805136,Transruinaulta Trailmarathon,46.7752,9.208729
132253,Diavolezza - Munt Pers,46.411907,9.965056
432251,Ninos Gold-Trail by ÖKK,46.738701,9.556738
56942,Schellen-Ursli-Weg,46.776379,10.156497
572053,St. Moritz Runde (E-Mountainbike),46.484371,9.835611
539352,Antennatrail,46.816555,9.509091
538876,Rinerhorn - Monstein,46.744156,9.802876
564887,53 Bernina-Tour: Etappe 2 Berninapass-Diavolezza,46.40881,10.019717
72163,"Via Engiadina Winter. Etappe 3, Ardez – Scuol",46.773643,10.200995
567236,53 Bernina-Tour: Etappe 1 Poschiavo-Berninapass,46.324612,10.054684
547745,Samnaun - Bruneck/Reischach,46.943462,10.36002
41715,35.10 Walserweg Graubünden Etappe 10: Juf - Alp Flix,46.445923,9.578954
198717,Rundwanderung Ilanz,46.775185,9.207376
132361,Madulain - Zuoz,46.587154,9.938521
35105,Höhenweg von der Madrisa übers Jägglischhorn nach St. Antönien,46.901989,9.86507
78720,Einfache Runde Pradella,46.794632,10.296073
226374,Grottenstein - mystische Burgruine,46.878761,9.526762
109466,Oberalppass -Lolenpass-Andermatt,46.658504,8.671746
82298,S.Bernardino - Val Curciusa - Madesimo (Italien),46.461758,9.190776
300049,Rundwanderung Meierhof - Tusa - Meierhof,46.750477,9.10131
906981,Via Alpina - Montafon - St. Antönien bis Gargellen,46.969646,9.813474
129757,Avers-Juppa - Avers-Juf,46.453476,9.548189
491089,Rheinschlucht Bahnwanderung: Reichenau - Trin Station,46.823891,9.412874
108573,Fuorcla Val dal Botsch : Die Drei-Täler-Tour,46.6642,10.210532
83984,Hüttenzustieg Älplibahn - Schesaplanahütte,46.985462,9.569263
132450,Corvatsch - Hahnensee - St.Moritz,46.432114,9.824104
332889,Alpine Hüttenwanderung Kesch-Trek (Etappe 4),46.611389,9.902915
421201,Vom Piz Scalottas nach Churwalden,46.721745,9.510683
29419,Winterwanderweg Schuderser Maiensäss,46.992764,9.739704
129806,Rundwanderung Surettatal,46.570377,9.366443
132462,Bahnentour Davos Klosters,46.833046,9.805791
132456,Auf den Spuren Kirchners (1880 - 1938),46.789379,9.815402
127433,STM-DW - Alp Arpiglia - Lej da Prastinaun,46.599697,9.960797
1034253,Runda Sinestra,46.795345,10.294789
541520,Sogn Carli (All Mountain),46.775169,9.207096
129771,370 Libi-Rundweg,46.637676,9.414983
506888,Laax Dorf - Laax Talstation,46.806519,9.258259
89313,Schlittada-Panoramica,46.585918,9.553138
98034,Weisshorngipfel - Sattelhütte - Mittelstation,46.786594,9.662928
224330,E-Bike Tour von St. Antönien zum Bärgli,46.969563,9.814329
131580,Untervaz,46.927704,9.535581
280965,Motta Naluns – Alp Clünas – Alp Laret – Ftan – Scuol,46.810993,10.271878
506725,Kurze Rheinschlucht Runde mit ÖV,46.793381,9.258107
354747,Rundweg Munsaus (Kinderwagentauglich),46.766945,9.062594
141182,Forno Panoramaweg - Rundtour,46.393597,9.69333
513564,Raschainas - Alp Fops,46.714081,9.535208
132274,Smaragdweg St. Moritz - Sils,46.497959,9.84555
691452,Tschiertschen - Urdenfürggli - Lenzerheide (04),46.818275,9.606752
175557,Bahnentour Engadin St. Moritz,46.507999,9.819472
257953,"Arosa, Schweiz",46.772625,9.658393
127519,STM-DW - Chamanna d'Es-cha,46.586792,9.938067
108663,Weisshorngipfel – Sattelhütte – Scheidegg – Mittelstation,46.789738,9.638606
853393,Churwalden - Windegga - Fuulberg - Stätzerhorn,46.777985,9.541862
43379,Via Sett 4: Über den Septimerpass,46.4706,9.649775
89626,2-Tagestour T4 Pass Nalps - Cadlimohütte,46.637756,8.765832
137232,Alpleben Somtgant-Radons (Kinderwagengerecht),46.586388,9.553738
74495,"Engadin St. Moritz Ultraks Trail ""30K""",46.492916,9.902563
86295,699 Panyer Rundweg,46.930298,9.766529
152851,Surselva 3 Tages-Rundtour (E-Mountainbike),46.774273,9.207131
74494,"Engadin St. Moritz Ultraks Trail ""16K""",46.492882,9.902608
1034258,Runda Curnera,46.703804,8.851911
132719,Von der Val Lumnezia nach Obersaxen,46.685226,9.13137
129941,"Ein Berg im Fluss, Glaspass",46.677521,9.349612
1000760,Gadäwäg Klosters,46.860924,9.931659
894233,Pelegrinadi - Mit Sinnen und Sinn von Kirche zu Kirche,46.685261,9.37524
524969,Bike-Trail Chè d’Mot,46.952267,10.372122
