index,0,1
0,357325,132999
1,132998,529726
2,812811,276190
3,548333,543179
4,133037,133046
5,132993,357288
6,371230,130963
7,548336,362626
8,130967,812813
9,357322,133035
10,377011,163627
11,548337,130625
12,812804,27804
13,357320,130657
14,130681,357313
15,357291,418411
16,320784,357287
17,670385,65898
18,613198,69487
19,357328,626840
20,246771,371234
21,610990,744807
22,132995,159633
23,114226,371237
24,1040682,357292
25,371235,587653
26,357321,371232
27,133001,584681
28,548334,843841
29,156872,683383
30,812810,357295
31,357294,479603
32,133029,132949
33,133023,83732
34,812809,612672
35,377001,640924
36,543657,996913
37,613197,333354
38,71375,529733
39,350190,320817
40,130959,92427
41,749250,922079
42,371236,154477
43,610987,333353
44,670386,90717
45,357309,333357
46,357316,254035
47,133038,922188
48,201330,333355
49,153939,670391
50,371242,163607
51,126148,101780
52,357319,33870
53,320783,843854
54,132992,670392
55,133041,333356
56,548332,1014450
57,610986,982746
58,357329,843864
59,348147,91181
60,377010,0
61,133003,0
62,377000,0
63,133033,0
64,371239,0
65,321333,0
66,133040,0
67,1022698,0
68,610999,0
69,812802,0
